dataset_id,duong_dan,loai_du_lieu,do_tin_cay,quality_score,freshness_score,coverage_score,completeness_score,operational_readiness
kiem_dinh_proxy_195431Z,datasets/gold/archive/2026-05-22/kiem_dinh_proxy_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_195431Z,datasets/gold/archive/2026-05-22/kpi_confidence_scores_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_195431Z,datasets/gold/archive/2026-05-22/kpi_scale_catalog_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_195431Z,datasets/gold/archive/2026-05-22/local_spending_poi_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_195431Z,datasets/gold/archive/2026-05-22/national_destination_alerts_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_195431Z,datasets/gold/archive/2026-05-22/news_action_recommendations_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_195431Z,datasets/gold/archive/2026-05-22/news_events_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_195431Z,datasets/gold/archive/2026-05-22/news_risk_signals_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_195431Z,datasets/gold/archive/2026-05-22/proxy_vs_nearrealtime_comparison_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_195431Z,datasets/gold/archive/2026-05-22/redistribution_features_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_195431Z,datasets/gold/archive/2026-05-22/thoi_tiet_hien_tai_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_195431Z,datasets/gold/archive/2026-05-22/ticket_pressure_scores_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_195431Z,datasets/gold/archive/2026-05-22/xep_hang_canh_bao_toan_quoc_195431Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_034310Z,datasets/gold/archive/2026-05-22/attraction_ticket_catalog_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_034310Z,datasets/gold/archive/2026-05-22/danh_sach_diem_den_mo_rong_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_034310Z,datasets/gold/archive/2026-05-22/de_xuat_hieu_qua_kinh_te_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_034310Z,datasets/gold/archive/2026-05-22/du_bao_thoi_tiet_7_ngay_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_034310Z,datasets/gold/archive/2026-05-22/economic_action_recommendations_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_034310Z,datasets/gold/archive/2026-05-22/flight_price_signal_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_034310Z,datasets/gold/archive/2026-05-22/forecast_demand_scores_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_034310Z,datasets/gold/archive/2026-05-22/hotel_price_pressure_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_034310Z,datasets/gold/archive/2026-05-22/kiem_dinh_proxy_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_034310Z,datasets/gold/archive/2026-05-22/kpi_confidence_scores_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_034310Z,datasets/gold/archive/2026-05-22/kpi_scale_catalog_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_034310Z,datasets/gold/archive/2026-05-22/local_spending_poi_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_034310Z,datasets/gold/archive/2026-05-22/national_destination_alerts_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_034310Z,datasets/gold/archive/2026-05-22/news_action_recommendations_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_034310Z,datasets/gold/archive/2026-05-22/news_events_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_034310Z,datasets/gold/archive/2026-05-22/news_risk_signals_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_034310Z,datasets/gold/archive/2026-05-22/proxy_vs_nearrealtime_comparison_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_034310Z,datasets/gold/archive/2026-05-22/redistribution_features_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_034310Z,datasets/gold/archive/2026-05-22/thoi_tiet_hien_tai_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_034310Z,datasets/gold/archive/2026-05-22/ticket_pressure_scores_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_034310Z,datasets/gold/archive/2026-05-22/xep_hang_canh_bao_toan_quoc_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_092635Z,datasets/gold/archive/2026-05-22/attraction_ticket_catalog_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_092635Z,datasets/gold/archive/2026-05-22/danh_sach_diem_den_mo_rong_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_092635Z,datasets/gold/archive/2026-05-22/de_xuat_hieu_qua_kinh_te_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
